[alpha, beta]
[160.336 160.664]
[160.84 161.16]
[161.345 161.655]
[161.859 162.141]
[162.368 162.632]
[162.875 163.125]
[163.373 163.627]
[163.882 164.118]
[164.372 164.628]
[164.891 165.109]
[165.419 165.581]
[165.917 166.083]
[166.413 166.587]
[166.922 167.078]
[167.422 167.578]
[167.896 168.104]
[168.376 168.624]
[168.876 169.124]
[169.397 169.603]
[169.914 170.086]
[170.396 170.604]
[170.924 171.076]
[171.426 171.574]
[171.934 172.066]
[172.421 172.579]
[172.95 173.05]
[173.444 173.556]
[173.967 174.033]
[174.485 174.515]
[174.984 175.016]
[175.477 175.523]
[175.977 176.023]
[176.473 176.527]
[176.984 177.016]
[177.503 177.497]
[178.005 177.995]
[178.485 178.515]
[178.998 179.002]
[179.474 179.526]
[179.96 180.04]
[180.483 180.517]
[180.989 181.011]
[181.483 181.517]
[181.967 182.033]
[182.46 182.54]
[182.954 183.046]
[183.458 183.542]
[183.968 184.032]
[184.469 184.531]
[184.952 185.048]
[185.45 185.55]
[185.955 186.045]
[186.474 186.526]
[186.982 187.018]
[187.456 187.544]
[187.964 188.036]
[188.471 188.529]
[188.964 189.036]
[189.468 189.532]
[190.025 189.975]
[190.486 190.514]
[191.011 190.989]
[191.522 191.478]
[192.016 191.984]
[192.532 192.468]
[193.006 192.994]
[193.518 193.482]
[194.008 193.992]
[194.523 194.477]
[195.006 194.994]
[195.501 195.499]
[196.01 195.99]
[196.517 196.483]
[197.012 196.988]
[197.513 197.487]
[198.055 197.945]
[198.541 198.459]
[199.019 198.981]
[199.544 199.456]
[200.056 199.944]
[200.538 200.462]
[201.037 200.963]
[201.555 201.445]
[202.054 201.946]
[202.562 202.438]
[203.055 202.945]
[203.533 203.467]
[204.013 203.987]
[204.515 204.485]
[205.01 204.99]
[205.491 205.509]
[206. 206.]
[206.506 206.494]
[207.021 206.979]
[207.516 207.484]
[208.011 207.989]
[208.516 208.484]
[209.016 208.984]
[209.52 209.48]
[210.025 209.975]
[210.541 210.459]
[211.034 210.966]
[211.532 211.468]
[212.017 211.983]
[212.53 212.47]
[213.014 212.986]
[213.477 213.523]
[213.956 214.044]
[214.458 214.542]
[214.965 215.035]
[215.469 215.531]
[215.97 216.03]
[216.477 216.523]
[216.987 217.013]
[217.504 217.496]
[218.013 217.987]
[218.505 218.495]
[219.041 218.959]
[219.513 219.487]
[219.989 220.011]
[220.493 220.507]
[220.967 221.033]
[221.486 221.514]
[221.999 222.001]
[222.545 222.455]
[223.038 222.962]
[223.535 223.465]
[224.059 223.941]
[224.537 224.463]
[225.032 224.968]
[225.531 225.469]
[226.021 225.979]
[226.507 226.493]
[226.99 227.01]
[227.486 227.514]
[227.983 228.017]
[228.472 228.528]
[228.984 229.016]
[229.483 229.517]
[229.969 230.031]
[230.47 230.53]
[230.95 231.05]
[231.447 231.553]
[231.936 232.064]
[232.435 232.565]
[232.932 233.068]
[233.405 233.595]
[233.893 234.107]
[234.371 234.629]
[234.888 235.112]
[235.413 235.587]
[235.897 236.103]
[236.411 236.589]
[236.926 237.074]
[237.43 237.57]
[237.922 238.078]
[238.425 238.575]
[238.929 239.071]
[239.448 239.552]
[239.948 240.052]
[240.46 240.54]
[240.955 241.045]
[241.45 241.55]
[241.956 242.044]
[242.46 242.54]
[242.975 243.025]
[243.469 243.531]
[243.988 244.012]
[244.493 244.507]
[244.954 245.046]
[245.469 245.531]
[245.989 246.011]
[246.465 246.535]
[247.003 246.997]
[247.48 247.52]
[247.983 248.017]
[248.46 248.54]
[248.97 249.03]
[249.468 249.532]
[249.974 250.026]
[250.476 250.524]
[250.97 251.03]
[253.524 253.476]
[256.024 255.976]
[258.467 258.533]
[261.017 260.983]
[263.544 263.456]
[266.064 265.936]
[268.571 268.429]
[271.054 270.946]
[273.516 273.484]
[275.982 276.018]
[278.518 278.482]
[281.066 280.934]
[283.53 283.47]
[286.073 285.927]
[288.476 288.524]
[290.968 291.032]
[293.432 293.568]
[295.945 296.055]
[298.459 298.541]
[300.946 301.054]
[303.478 303.522]
[306.027 305.973]
[308.58 308.42]
[311.035 310.965]
[313.488 313.512]
[315.947 316.053]
[318.5 318.5]
[320.973 321.027]
[323.463 323.537]
[326.035 325.965]
[328.503 328.497]
[330.944 331.056]
[333.438 333.562]
[335.908 336.092]
[338.398 338.602]
[340.867 341.133]
[343.353 343.647]
[345.826 346.174]
[348.26 348.74]
[350.788 351.212]
[353.31 353.69]
[355.839 356.161]
[358.34 358.66]
[360.874 361.126]
[363.433 363.567]
[365.917 366.083]
[368.384 368.616]
[370.879 371.121]
[373.355 373.645]
[375.826 376.174]
[378.344 378.656]
[380.852 381.148]
[383.37 383.63]
[385.845 386.155]
[388.356 388.644]
[390.854 391.146]
[393.368 393.632]
[395.879 396.121]
[398.377 398.623]
[400.852 401.148]
[403.337 403.663]
[405.812 406.188]
[408.295 408.705]
[410.786 411.214]
[413.244 413.756]
[415.777 416.223]
[418.329 418.671]
[420.819 421.181]
[423.322 423.678]
[425.815 426.185]
[428.346 428.654]
[430.86 431.14]
[433.361 433.639]
[435.878 436.122]
[438.348 438.652]
[440.859 441.141]
[443.357 443.643]
[445.897 446.103]
[448.394 448.606]
[450.928 451.072]
[453.395 453.605]
[455.981 456.019]
[458.538 458.462]
[461.028 460.972]
[463.511 463.489]
[465.999 466.001]
[468.476 468.524]
[470.975 471.025]
[473.465 473.535]
[475.938 476.062]
[478.43 478.57]
[480.925 481.075]
[483.39 483.61]
[485.86 486.14]
[488.427 488.573]
[490.924 491.076]
[493.441 493.559]
[495.932 496.068]
[498.422 498.578]
[500.938 501.062]
[503.443 503.557]
[505.926 506.074]
[508.422 508.578]
[510.973 511.027]
[513.468 513.532]
[515.925 516.075]
[518.423 518.577]
[520.94 521.06]
[523.466 523.534]
[525.959 526.041]
[528.463 528.537]
[531.012 530.988]
[533.614 533.386]
[536.116 535.884]
[538.632 538.368]
[541.042 540.958]
[543.551 543.449]
[546.063 545.937]
[548.587 548.413]
[551.084 550.916]
[553.539 553.461]
[556.077 555.923]
[558.607 558.393]
[561.101 560.899]
[563.552 563.448]
[566.023 565.977]
[568.492 568.508]
[570.988 571.012]
[573.512 573.488]
[575.992 576.008]
[578.543 578.457]
[581.076 580.924]
[583.588 583.412]
[586.103 585.897]
[588.664 588.336]
[591.151 590.849]
[593.659 593.341]
[596.173 595.827]
[598.64 598.36]
[601.215 600.785]
[603.749 603.251]
[606.196 605.804]
[608.71 608.29]
[611.223 610.777]
[613.737 613.263]
[616.293 615.707]
[618.767 618.233]
[621.274 620.726]
[623.823 623.177]
[626.298 625.702]
[628.773 628.227]
[631.244 630.756]
[633.699 633.301]
[636.141 635.859]
[638.646 638.354]
[641.198 640.802]
[643.719 643.281]
[646.189 645.811]
[648.66 648.34]
[651.196 650.804]
[653.684 653.316]
[656.131 655.869]
[658.627 658.373]
[661.183 660.817]
[663.664 663.336]
[666.139 665.861]
[668.65 668.35]
[671.109 670.891]
[673.612 673.388]
[676.063 675.937]
[678.563 678.437]
[681.055 680.945]
[683.547 683.453]
[686.041 685.959]
[688.569 688.431]
[691.061 690.939]
[693.584 693.416]
[695.984 696.016]
[698.455 698.545]
[700.992 701.008]
[703.476 703.524]
[705.992 706.008]
[708.576 708.424]
[711.08 710.92]
[713.602 713.398]
[716.188 715.812]
[718.647 718.353]
[721.156 720.844]
[723.648 723.352]
[726.113 725.887]
[728.666 728.334]
[731.205 730.795]
[733.753 733.247]
[736.261 735.739]
[738.763 738.237]
[741.216 740.784]
[743.727 743.273]
[746.205 745.795]
[748.705 748.295]
[751.254 750.746]
[753.756 753.244]
[756.217 755.783]
[758.739 758.261]
[761.239 760.761]
[763.724 763.276]
[766.189 765.811]
[768.677 768.323]
[771.158 770.842]
[773.718 773.282]
[776.268 775.732]
[778.753 778.247]
[781.238 780.762]
[783.79 783.21]
[786.206 785.794]
[788.672 788.328]
[791.169 790.831]
[793.647 793.353]
[796.188 795.812]
[798.732 798.268]
[801.221 800.779]
[803.739 803.261]
[806.228 805.772]
[808.751 808.249]
[811.238 810.762]
[813.746 813.254]
[816.232 815.768]
[818.745 818.255]
[821.235 820.765]
[823.731 823.269]
[826.232 825.768]
[828.726 828.274]
[831.188 830.812]
[833.748 833.252]
[836.214 835.786]
[838.753 838.247]
[841.224 840.776]
[843.717 843.283]
[846.249 845.751]
[848.746 848.254]
[851.226 850.774]
[853.726 853.274]
[856.196 855.804]
[858.72 858.28]
[861.226 860.774]
[863.729 863.271]
[866.293 865.707]
[868.82 868.18]
[871.302 870.698]
[873.826 873.174]
[876.297 875.703]
[878.791 878.209]
[881.264 880.736]
[883.737 883.263]
[886.285 885.715]
[888.787 888.213]
[891.359 890.641]
[893.807 893.193]
[896.33 895.67]
[898.846 898.154]
[901.351 900.649]
[903.883 903.117]
[906.392 905.608]
[908.837 908.163]
[911.423 910.577]
[913.92 913.08]
[916.467 915.533]
[918.95 918.05]
[921.534 920.466]
[924.009 922.991]
[926.495 925.505]
[929.014 927.986]
[931.513 930.487]
[933.942 933.058]
[936.44 935.56]
[938.963 938.037]
[941.494 940.506]
[944.049 942.951]
