[alpha, beta]
[716.655 240.345]
[720.422 241.578]
[721.171 241.829]
[724.93 243.07]
[725.677 243.323]
[729.426 244.574]
[730.177 244.823]
[733.913 246.087]
[734.651 246.349]
[738.472 247.528]
[739.22 247.78]
[742.951 249.049]
[743.69 249.31]
[747.452 250.548]
[748.211 250.789]
[752.005 251.995]
[752.75 252.25]
[756.54 253.46]
[757.255 253.745]
[760.979 255.021]
[761.744 255.256]
[765.464 256.536]
[766.249 256.751]
[769.944 258.056]
[770.698 258.302]
[774.45 259.55]
[775.188 259.812]
[778.901 261.099]
[779.622 261.378]
[783.432 262.568]
[784.174 262.826]
[787.907 264.093]
[788.66 264.34]
[792.403 265.597]
[793.148 265.852]
[796.902 267.098]
[797.653 267.347]
[801.391 268.609]
[802.149 268.851]
[805.89 270.11]
[806.645 270.355]
[810.413 271.587]
[811.138 271.862]
[814.878 273.122]
[815.64 273.36]
[819.376 274.624]
[820.123 274.877]
[823.861 276.139]
[824.623 276.377]
[828.34 277.66]
[829.119 277.881]
[832.865 279.135]
[833.63 279.37]
[837.352 280.648]
[838.092 280.908]
[841.828 282.172]
[842.6 282.4]
[846.318 283.682]
[847.076 283.924]
[850.805 285.195]
[851.544 285.456]
[855.273 286.727]
[856.012 286.988]
[859.793 288.207]
[860.529 288.471]
[864.308 289.692]
[865.06 289.94]
[868.779 291.221]
[869.535 291.465]
[873.303 292.697]
[874.049 292.951]
[877.859 294.141]
[878.6 294.4]
[882.329 295.671]
[883.06 295.94]
[886.803 297.197]
[887.561 297.439]
[891.377 298.623]
[892.115 298.885]
[895.856 300.144]
[896.629 300.371]
[900.403 301.597]
[901.167 301.833]
[904.855 303.145]
[905.618 303.382]
[909.396 304.604]
[910.143 304.857]
[913.907 306.093]
[914.651 306.349]
[918.378 307.622]
[919.129 307.871]
[922.874 309.126]
[923.631 309.369]
[927.338 310.662]
[928.072 310.928]
[931.832 312.168]
[932.577 312.423]
[936.333 313.667]
[937.102 313.898]
[940.874 315.126]
[941.627 315.373]
[945.302 316.698]
[946.039 316.961]
[949.803 318.197]
[950.54 318.46]
[954.276 319.724]
[955.044 319.956]
[958.779 321.221]
[959.536 321.464]
[963.328 322.672]
[964.09 322.91]
[967.844 324.156]
[968.602 324.398]
[972.342 325.658]
[973.089 325.911]
[976.834 327.166]
[977.556 327.444]
[981.32 328.68]
[982.071 328.929]
[985.813 330.187]
[986.57 330.43]
[990.28 331.72]
[990.998 332.002]
[994.726 333.274]
[995.459 333.541]
[999.239 334.761]
[999.981 335.019]
[1003.735  336.265]
[1004.482  336.518]
[1008.26  337.74]
[1009.005  337.995]
[1012.737  339.263]
[1013.48  339.52]
[1017.258  340.742]
[1017.994  341.006]
[1021.721  342.279]
[1022.457  342.543]
[1026.203  343.797]
[1026.965  344.035]
[1030.705  345.295]
[1031.452  345.548]
[1035.22  346.78]
[1035.957  347.043]
[1039.666  348.334]
[1040.441  348.559]
[1044.191  349.809]
[1044.947  350.053]
[1048.727  351.273]
[1049.488  351.512]
[1053.235  352.765]
[1053.982  353.018]
[1057.747  354.253]
[1058.505  354.495]
[1062.257  355.743]
[1062.991  356.009]
[1066.769  357.231]
[1067.523  357.477]
[1071.29  358.71]
[1072.035  358.965]
[1075.737  360.263]
[1076.482  360.518]
[1080.257  361.743]
[1081.026  361.974]
[1084.868  363.132]
[1085.636  363.364]
[1089.381  364.619]
[1090.121  364.879]
[1093.846  366.154]
[1094.601  366.399]
[1098.368  367.632]
[1099.135  367.865]
[1102.861  369.139]
[1103.587  369.413]
[1107.327  370.673]
[1108.085  370.915]
[1111.855  372.145]
[1112.597  372.403]
[1116.332  373.668]
[1117.109  373.891]
[1120.832  375.168]
[1121.591  375.409]
[1125.362  376.638]
[1126.103  376.897]
[1129.884  378.116]
[1130.632  378.368]
[1134.385  379.615]
[1135.134  379.866]
[1138.852  381.148]
[1139.63  381.37]
[1143.354  382.646]
[1144.116  382.884]
