[alpha, beta]
[1. 1.]
[3.468 3.532]
[5.993 6.007]
[8.473 8.527]
[10.933 11.067]
[13.503 13.497]
[16.043 15.957]
[18.488 18.512]
[21.015 20.985]
[23.521 23.479]
[26.049 25.951]
[28.581 28.419]
[31.092 30.908]
[33.599 33.401]
[36.163 35.837]
[38.669 38.331]
[41.161 40.839]
[43.661 43.339]
[46.197 45.803]
[48.692 48.308]
[51.215 50.785]
[53.723 53.277]
[56.201 55.799]
[58.75 58.25]
[61.265 60.735]
[63.684 63.316]
[66.205 65.795]
[68.674 68.326]
[71.208 70.792]
[73.77 73.23]
[76.269 75.731]
[78.737 78.263]
[81.305 80.695]
[83.836 83.164]
[86.372 85.628]
[88.829 88.171]
[91.31 90.69]
[93.809 93.191]
[96.313 95.687]
[98.831 98.169]
[101.365 100.635]
[103.875 103.125]
[106.357 105.643]
[108.913 108.087]
[111.446 110.554]
[113.994 113.006]
[116.578 115.422]
[119.036 117.964]
[121.52 120.48]
[124.026 122.974]
[126.572 125.428]
[129.075 127.925]
[131.553 130.447]
[134.001 132.999]
[136.46 135.54]
[139.012 137.988]
[141.479 140.521]
[143.99 143.01]
[146.462 145.538]
[149.067 147.933]
[151.584 150.416]
[154.105 152.895]
[156.636 155.364]
[159.114 157.886]
[161.632 160.368]
[164.16 162.84]
[166.656 165.344]
[169.181 167.819]
[171.729 170.271]
[174.202 172.798]
[176.668 175.332]
[179.162 177.838]
[181.594 180.406]
[184.106 182.894]
[186.626 185.374]
[189.141 187.859]
[191.661 190.339]
[194.165 192.835]
[196.711 195.289]
[199.184 197.816]
[201.669 200.331]
[204.196 202.804]
[206.778 205.222]
[209.282 207.718]
[211.846 210.154]
[214.33 212.67]
[216.82 215.18]
[219.287 217.713]
[221.759 220.241]
[224.211 222.789]
[226.709 225.291]
[229.163 227.837]
[231.625 230.375]
[234.095 232.905]
[236.594 235.406]
[239.075 237.925]
[241.562 240.438]
[244.075 242.925]
[246.568 245.432]
[249.039 247.961]
[251.588 250.412]
[254.061 252.939]
[256.58 255.42]
[259.054 257.946]
[261.545 260.455]
[264.011 262.989]
[266.54 265.46]
[269.022 267.978]
[271.525 270.475]
