[alpha, beta]
[1177.478  394.522]
[1181.202  395.798]
[1184.95  397.05]
[1188.776  398.224]
[1192.524  399.476]
[1196.28  400.72]
[1200.071  401.929]
[1203.836  403.164]
[1207.583  404.417]
[1211.358  405.642]
[1215.13  406.87]
[1218.876  408.124]
[1222.618  409.382]
[1226.418  410.582]
[1230.164  411.836]
[1233.87  413.13]
[1237.6  414.4]
[1241.324  415.676]
[1245.07  416.93]
[1248.816  418.184]
[1252.547  419.453]
[1256.251  420.749]
[1260.026  421.974]
[1263.783  423.217]
[1267.491  424.509]
[1271.249  425.751]
[1275.036  426.964]
[1278.773  428.227]
[1282.526  429.474]
[1286.305  430.695]
[1290.046  431.954]
[1293.827  433.173]
[1297.586  434.414]
[1301.385  435.615]
[1305.085  436.915]
[1308.807  438.193]
[1312.531  439.469]
[1316.341  440.659]
[1320.178  441.822]
[1323.973  443.027]
[1327.727  444.273]
[1331.425  445.575]
[1335.127  446.873]
[1338.916  448.084]
[1342.689  449.311]
[1346.457  450.543]
[1350.234  451.766]
[1353.986  453.014]
[1357.766  454.234]
[1361.512  455.488]
[1365.219  456.781]
[1368.997  458.003]
[1372.797  459.203]
[1376.561  460.439]
[1380.338  461.662]
[1384.115  462.885]
[1387.849  464.151]
[1391.644  465.356]
[1395.442  466.558]
[1399.188  467.812]
[1402.952  469.048]
[1406.701  470.299]
[1410.42  471.58]
[1414.114  472.886]
[1417.865  474.135]
[1421.587  475.413]
[1425.39  476.61]
[1429.134  477.866]
[1432.863  479.137]
[1436.621  480.379]
[1440.418  481.582]
[1444.177  482.823]
[1447.932  484.068]
[1451.649  485.351]
[1455.412  486.588]
[1459.2  487.8]
[1462.926  489.074]
[1466.662  490.338]
[1470.428  491.572]
[1474.186  492.814]
[1477.885  494.115]
[1481.651  495.349]
[1485.396  496.604]
[1489.173  497.827]
[1492.89  499.11]
[1496.692  500.308]
[1500.415  501.585]
[1504.159  502.841]
[1507.841  504.159]
[1511.597  505.403]
[1515.316  506.684]
[1519.131  507.869]
[1522.873  509.127]
[1526.675  510.325]
[1530.421  511.579]
[1534.204  512.796]
[1537.936  514.064]
[1541.697  515.303]
[1545.461  516.539]
[1549.207  517.793]
[1552.974  519.026]
[1556.729  520.271]
[1560.439  521.561]
[1564.192  522.808]
[1567.929  524.071]
[1571.694  525.306]
[1575.444  526.556]
[1579.211  527.789]
[1583.031  528.969]
[1586.791  530.209]
[1590.535  531.465]
[1594.322  532.678]
[1598.11  533.89]
[1601.856  535.144]
[1605.553  536.447]
[1609.327  537.673]
[1613.076  538.924]
[1616.808  540.192]
[1620.543  541.457]
[1624.323  542.677]
[1628.116  543.884]
[1631.85  545.15]
[1635.612  546.388]
[1639.359  547.641]
[1643.144  548.856]
[1646.879  550.121]
[1650.643  551.357]
[1654.379  552.621]
[1658.197  553.803]
[1661.925  555.075]
[1665.707  556.293]
[1669.494  557.506]
[1673.227  558.773]
[1677.005  559.995]
[1680.718  561.282]
[1684.45  562.55]
[1688.178  563.822]
[1691.906  565.094]
[1695.661  566.339]
[1699.387  567.613]
[1703.151  568.849]
[1706.997  570.003]
[1710.786  571.214]
[1714.557  572.443]
[1718.319  573.681]
[1722.005  574.995]
[1725.765  576.235]
[1729.532  577.468]
[1733.267  578.733]
[1737.021  579.979]
[1740.777  581.223]
[1744.51  582.49]
[1748.242  583.758]
[1751.998  585.002]
[1755.703  586.297]
[1759.511  587.489]
[1763.283  588.717]
[1767.037  589.963]
[1770.805  591.195]
[1774.536  592.464]
[1778.266  593.734]
[1782.021  594.979]
[1785.765  596.235]
[1789.517  597.483]
[1793.235  598.765]
[1796.971  600.029]
[1800.704  601.296]
[1804.45  602.55]
[1808.144  603.856]
[1811.91  605.09]
[1815.68  606.32]
[1819.461  607.539]
[1823.144  608.856]
[1826.871  610.129]
[1830.548  611.452]
[1834.309  612.691]
[1837.96  614.04]
[1841.684  615.316]
[1845.454  616.546]
[1849.151  617.849]
[1852.874  619.126]
[1856.662  620.338]
[1860.399  621.601]
[1864.139  622.861]
[1867.842  624.158]
[1871.566  625.434]
[1875.353  626.647]
[1876.107  626.893]
[1876.852  627.148]
[1877.637  627.363]
[1878.386  627.614]
[1879.155  627.845]
[1879.901  628.099]
[1880.643  628.357]
[1881.4  628.6]
[1882.147  628.853]
[1882.89  629.11]
[1883.644  629.356]
[1884.382  629.618]
[1885.155  629.845]
[1885.927  630.073]
[1886.684  630.316]
[1887.444  630.556]
[1888.211  630.789]
[1888.948  631.052]
[1889.693  631.307]
[1890.43  631.57]
[1891.178  631.822]
[1891.912  632.088]
[1892.668  632.332]
[1893.409  632.591]
[1894.159  632.841]
[1894.906  633.094]
[1895.651  633.349]
[1896.4  633.6]
[1897.15  633.85]
[1897.908  634.092]
[1898.636  634.364]
[1899.368  634.632]
[1900.124  634.876]
[1900.858  635.142]
[1901.626  635.374]
[1902.375  635.625]
[1903.099  635.901]
[1903.856  636.144]
[1904.62  636.38]
[1905.393  636.607]
[1906.166  636.834]
[1906.919  637.081]
[1907.67  637.33]
[1908.441  637.559]
[1909.197  637.803]
[1909.955  638.045]
[1910.712  638.288]
[1911.466  638.534]
[1912.225  638.775]
[1912.975  639.025]
[1913.733  639.267]
[1914.473  639.527]
[1915.212  639.788]
[1915.952  640.048]
[1916.723  640.277]
[1917.499  640.501]
[1918.244  640.756]
[1918.998  641.002]
[1919.755  641.245]
[1920.495  641.505]
[1921.242  641.758]
[1921.992  642.008]
[1922.742  642.258]
[1923.475  642.525]
[1924.224  642.776]
[1924.976  643.024]
[1925.718  643.282]
[1926.435  643.565]
[1927.201  643.799]
[1927.947  644.053]
[1928.692  644.308]
[1929.443  644.557]
[1930.176  644.824]
[1930.946  645.054]
[1931.68  645.32]
[1932.405  645.595]
[1933.141  645.859]
[1933.908  646.092]
[1934.663  646.337]
[1935.418  646.582]
[1936.16  646.84]
[1936.903  647.097]
[1937.642  647.358]
[1938.41  647.59]
[1939.158  647.842]
[1939.897  648.103]
[1940.669  648.331]
[1941.417  648.583]
[1942.155  648.845]
[1942.929  649.071]
[1943.676  649.324]
[1944.406  649.594]
[1945.16  649.84]
[1945.884  650.116]
[1946.628  650.372]
[1947.347  650.653]
[1948.104  650.896]
[1948.827  651.173]
[1949.576  651.424]
[1950.32  651.68]
[1951.067  651.933]
[1951.803  652.197]
[1952.573  652.427]
[1953.336  652.664]
[1954.094  652.906]
[1954.849  653.151]
[1955.568  653.432]
[1956.314  653.686]
[1957.052  653.948]
[1957.794  654.206]
[1958.549  654.451]
[1959.296  654.704]
[1960.024  654.976]
[1960.805  655.195]
[1961.523  655.477]
[1962.298  655.702]
[1963.028  655.972]
[1963.761  656.239]
[1964.512  656.488]
[1965.269  656.731]
[1966.004  656.996]
[1966.766  657.234]
[1967.509  657.491]
[1968.236  657.764]
[1968.97  658.03]
[1969.712  658.288]
[1970.47  658.53]
[1971.221  658.779]
[1971.986  659.014]
[1972.718  659.282]
[1973.475  659.525]
[1974.215  659.785]
[1974.965  660.035]
[1975.701  660.299]
[1976.451  660.549]
[1977.205  660.795]
[1977.96  661.04]
[1978.704  661.296]
[1979.451  661.549]
[1980.199  661.801]
[1980.96  662.04]
[1981.72  662.28]
[1982.434  662.566]
[1983.18  662.82]
[1983.922  663.078]
[1984.673  663.327]
[1985.417  663.583]
[1986.156  663.844]
[1986.919  664.081]
[1987.671  664.329]
[1988.407  664.593]
[1989.156  664.844]
[1989.908  665.092]
[1990.666  665.334]
[1991.425  665.575]
[1992.185  665.815]
[1992.92  666.08]
[1993.666  666.334]
[1994.403  666.597]
[1995.128  666.872]
[1995.89  667.11]
