[alpha, beta]
[1. 1.]
[1.499 1.501]
[3.989 4.011]
[4.479 4.521]
[6.981 7.019]
[7.501 7.499]
[ 9.985 10.015]
[10.498 10.502]
[12.978 13.022]
[13.489 13.511]
[15.947 16.053]
[16.416 16.584]
[18.944 19.056]
[19.45 19.55]
[21.944 22.056]
[22.45 22.55]
[24.951 25.049]
[25.468 25.532]
[27.987 28.013]
[28.51 28.49]
[30.978 31.022]
[31.457 31.543]
[33.97 34.03]
[34.481 34.519]
[36.926 37.074]
[37.439 37.561]
[39.962 40.038]
[40.469 40.531]
[42.999 43.001]
[43.505 43.495]
[46.079 45.921]
[46.567 46.433]
[49.033 48.967]
[49.523 49.477]
[52.055 51.945]
[52.581 52.419]
[55.089 54.911]
[55.586 55.414]
[58.07 57.93]
[58.583 58.417]
[61.114 60.886]
[61.639 61.361]
[64.098 63.902]
[64.595 64.405]
[67.16 66.84]
[67.664 67.336]
[70.196 69.804]
[70.699 70.301]
[73.243 72.757]
[73.752 73.248]
[76.253 75.747]
[76.731 76.269]
[79.245 78.755]
[79.744 79.256]
[82.239 81.761]
[82.738 82.262]
[85.169 84.831]
[85.651 85.349]
[88.173 87.827]
[88.688 88.312]
[91.245 90.755]
[91.75 91.25]
[94.31 93.69]
[94.831 94.169]
[97.325 96.675]
[97.839 97.161]
[100.253  99.747]
[100.767 100.233]
[103.232 102.768]
[103.707 103.293]
[106.166 105.834]
[106.646 106.354]
[109.18 108.82]
[109.685 109.315]
[112.252 111.748]
[112.767 112.233]
[115.219 114.781]
[115.709 115.291]
[118.252 117.748]
[118.741 118.259]
[121.176 120.824]
[121.673 121.327]
[124.243 123.757]
[124.739 124.261]
[127.192 126.808]
[127.682 127.318]
[130.187 129.813]
[130.684 130.316]
[133.199 132.801]
[133.72 133.28]
[136.223 135.777]
[136.721 136.279]
[139.221 138.779]
[139.716 139.284]
[142.247 141.753]
[142.732 142.268]
[145.214 144.786]
[145.713 145.287]
[148.173 147.827]
[148.669 148.331]
[151.172 150.828]
[151.669 151.331]
[154.142 153.858]
[154.627 154.373]
[157.121 156.879]
[157.614 157.386]
[160.133 159.867]
[160.637 160.363]
[163.089 162.911]
[163.587 163.413]
[166.091 165.909]
[166.589 166.411]
[169.157 168.843]
[169.659 169.341]
[172.143 171.857]
[172.649 172.351]
[175.142 174.858]
[175.653 175.347]
[178.122 177.878]
[178.624 178.376]
[181.139 180.861]
[181.648 181.352]
[184.184 183.816]
[184.697 184.303]
[187.165 186.835]
[187.622 187.378]
[190.098 189.902]
[190.587 190.413]
[193.132 192.868]
[193.631 193.369]
[196.142 195.858]
[196.652 196.348]
[199.116 198.884]
[199.598 199.402]
[202.156 201.844]
[202.684 202.316]
[205.174 204.826]
[205.663 205.337]
[208.216 207.784]
[208.714 208.286]
[211.224 210.776]
