[alpha, beta]
[1. 1.]
[1.736 1.264]
[2.465 1.535]
[3.223 1.777]
[3.972 2.028]
[4.726 2.274]
[5.457 2.543]
[6.225 2.775]
[6.996 3.004]
[7.744 3.256]
[8.48 3.52]
[9.251 3.749]
[10.013  3.987]
[10.768  4.232]
[11.519  4.481]
[12.272  4.728]
[13.034  4.966]
[13.777  5.223]
[14.549  5.451]
[15.308  5.692]
[16.037  5.963]
[16.771  6.229]
[17.525  6.475]
[18.247  6.753]
[19.001  6.999]
[19.754  7.246]
[20.504  7.496]
[21.253  7.747]
[21.983  8.017]
[22.756  8.244]
[23.521  8.479]
[24.276  8.724]
[25.022  8.978]
[25.741  9.259]
[26.478  9.522]
[27.209  9.791]
[27.962 10.038]
[28.666 10.334]
[29.4 10.6]
[30.153 10.847]
[30.917 11.083]
[31.668 11.332]
[32.432 11.568]
[33.224 11.776]
[33.955 12.045]
[34.705 12.295]
[35.458 12.542]
[36.199 12.801]
[36.951 13.049]
[37.735 13.265]
[38.488 13.512]
[39.251 13.749]
[39.999 14.001]
[40.719 14.281]
[41.458 14.542]
[42.192 14.808]
[42.963 15.037]
[43.707 15.293]
[44.454 15.546]
[45.216 15.784]
[45.956 16.044]
[46.697 16.303]
[47.451 16.549]
[48.217 16.783]
[48.958 17.042]
[49.705 17.295]
[50.47 17.53]
[51.219 17.781]
[51.968 18.032]
[52.729 18.271]
[53.509 18.491]
[54.249 18.751]
[54.984 19.016]
[55.735 19.265]
[56.498 19.502]
[57.247 19.753]
[57.981 20.019]
[58.726 20.274]
[59.481 20.519]
[60.209 20.791]
[60.951 21.049]
[61.681 21.319]
[62.429 21.571]
[63.211 21.789]
[63.964 22.036]
[64.718 22.282]
[65.462 22.538]
[66.218 22.782]
[66.968 23.032]
[67.706 23.294]
[68.438 23.562]
[69.162 23.838]
[69.889 24.111]
[70.642 24.358]
[71.391 24.609]
[72.122 24.878]
[72.88 25.12]
[73.622 25.378]
[74.38 25.62]
[75.119 25.881]
[75.884 26.116]
[76.644 26.356]
[77.389 26.611]
[78.158 26.842]
[78.882 27.118]
[79.635 27.365]
[80.395 27.605]
[81.134 27.866]
[81.88 28.12]
[82.621 28.379]
[83.378 28.622]
[84.125 28.875]
[84.875 29.125]
[85.65 29.35]
[86.398 29.602]
[87.15 29.85]
[87.895 30.105]
[88.634 30.366]
[89.397 30.603]
[90.131 30.869]
[90.855 31.145]
[91.566 31.434]
[92.307 31.693]
[93.1 31.9]
[93.847 32.153]
[94.596 32.404]
[95.351 32.649]
[96.13 32.87]
[96.854 33.146]
[97.596 33.404]
[98.348 33.652]
[99.106 33.894]
[99.856 34.144]
[100.622  34.378]
[101.378  34.622]
[102.12  34.88]
[102.869  35.131]
[103.627  35.373]
[104.363  35.637]
[105.117  35.883]
[105.876  36.124]
[106.615  36.385]
[107.395  36.605]
[108.125  36.875]
[108.881  37.119]
[109.63  37.37]
[110.369  37.631]
[111.129  37.871]
[111.861  38.139]
[112.622  38.378]
[113.391  38.609]
[114.145  38.855]
[114.914  39.086]
[115.665  39.335]
[116.4  39.6]
[117.12  39.88]
[117.885  40.115]
[118.63  40.37]
[119.394  40.606]
[120.144  40.856]
[120.914  41.086]
[121.677  41.323]
[122.395  41.605]
[123.143  41.857]
[123.881  42.119]
[124.644  42.356]
[125.387  42.613]
[126.132  42.868]
[126.879  43.121]
[127.616  43.384]
[128.369  43.631]
[129.138  43.862]
[129.863  44.137]
[130.598  44.402]
[131.332  44.668]
[132.094  44.906]
[132.883  45.117]
[133.649  45.351]
[134.384  45.616]
[135.137  45.863]
[135.881  46.119]
[136.602  46.398]
[137.362  46.638]
[138.126  46.874]
[138.877  47.123]
[139.638  47.362]
[140.403  47.597]
[141.152  47.848]
[141.885  48.115]
[142.619  48.381]
[143.379  48.621]
[144.116  48.884]
[144.866  49.134]
[145.642  49.358]
[146.377  49.623]
[147.117  49.883]
[147.891  50.109]
[148.631  50.369]
[149.395  50.605]
[150.157  50.843]
[150.931  51.069]
[151.667  51.333]
[152.414  51.586]
[153.166  51.834]
[153.936  52.064]
[154.688  52.312]
[155.418  52.582]
[156.18  52.82]
[156.933  53.067]
[157.683  53.317]
[158.443  53.557]
[159.19  53.81]
[159.948  54.052]
[160.704  54.296]
[161.452  54.548]
[162.216  54.784]
[162.978  55.022]
[163.741  55.259]
[164.451  55.549]
[165.184  55.816]
[165.94  56.06]
[166.68  56.32]
[167.442  56.558]
[168.207  56.793]
[168.953  57.047]
[169.702  57.298]
[170.46  57.54]
[171.22  57.78]
[171.979  58.021]
[172.732  58.268]
[173.467  58.533]
[174.232  58.768]
[174.962  59.038]
[175.702  59.298]
[176.46  59.54]
[177.224  59.776]
[177.976  60.024]
[178.745  60.255]
[179.485  60.515]
[180.243  60.757]
[180.992  61.008]
[181.751  61.249]
[182.486  61.514]
[183.243  61.757]
[184.  62.]
[184.753  62.247]
[185.516  62.484]
[186.259  62.741]
[187.007  62.993]
